item,category,description,impact,disposal_methods,item_clean
Banana Peel,wet,Biodegradable fruit skin,Attracts pests and produces methane,Compost;Use as fertilizer;Vermicompost,banana peel
Apple Core,wet,Organic fruit waste,Methane production in landfill,Compost;Feed animals;Worm bin,apple core
Orange Peel,wet,Citrus fruit skin,Slow decomposition in mixed waste,Compost;Natural cleaner;Dry reuse,orange peel
Watermelon Rind,wet,Thick fruit skin,Takes landfill space,Compost;Cook reuse;Biogas,watermelon rind
Mango Peel,wet,Tropical fruit skin,Attracts flies if unmanaged,Compost;Animal feed;Vermicompost,mango peel
Potato Peel,wet,Vegetable skin,Methane emission,Compost;Reuse cooking;Vermicompost,potato peel
Carrot Peel,wet,Root vegetable skin,Adds to food waste volume,Compost;Vegetable stock;Animal feed,carrot peel
Onion Skin,wet,Dry vegetable layer,Slow decomposition,Compost;Natural dye;Stock,onion skin
Tomato,wet,Overripe fruit,Attracts pests,Compost;Garden burial;Worm farm,tomato
Lettuce Leaves,wet,Wilted greens,Methane in landfill,Compost;Animal feed;Vermicompost,lettuce leaves
Spinach,wet,Spoiled leafy greens,Leachate contamination,Compost;Mulch;Bokashi,spinach
Broccoli Stalks,wet,Vegetable stems,Nutrient waste,Compost;Cook reuse;Vermicompost,broccoli stalks
Coffee Grounds,wet,Used coffee waste,Acidifies landfill,Compost;Fertilizer;Deodorizer,coffee grounds
Tea Leaves,wet,Used tea residue,Methane emission,Compost;Mulch;Vermicompost,tea leaves
Bread Stale,wet,Old bread,Attracts rodents,Compost;Breadcrumb reuse;Animal feed,bread stale
Rice Leftover,wet,Cooked rice waste,Odor and fermentation,Compost;Bokashi;Animal feed,rice leftover
Pasta Leftover,wet,Cooked pasta,Attracts pests,Compost;Bokashi;Garden burial,pasta leftover
Cooked Vegetables,wet,Food leftovers,Methane emission,Compost;Bokashi;Biogas,cooked vegetables
Eggshells,wet,Calcium-rich shells,Slow decomposition,Crush and compost;Soil additive;Vermicompost,eggshells
Grass Clippings,wet,Garden waste,Methane if bagged,Compost;Mulch;Leave on lawn,grass clippings
Fallen Leaves,wet,Dry leaves,Methane in landfill,Compost;Leaf mold;Mulch,fallen leaves
Hair Clippings,wet,Human/pet hair,Slow decomposition,Compost;Mulch;Reuse,hair clippings
Flowers Wilted,wet,Dead plants,Biomass waste,Compost;Dry reuse;Mulch,flowers wilted
